IdMulta;IdFalta;CodigoFalta;TipoFormato;NivelGravedad;IdTiempo;Anio;Mes;MultasImpuestas;ImporteImpuesto;ReincidenciaImpuesta
9701;214;M20c;Papeleta Electrónica;M;18;2023;6;1;2475;0
9702;170;L01;Papeleta de Tránsito;L;19;2023;7;3;594;0
9703;49;G14;Papeleta de Tránsito;G;17;2023;5;1;396;396
9704;38;G10;Papeleta de Tránsito;G;15;2023;3;4;1584;0
9705;38;G10;Papeleta de Tránsito;G;15;2023;3;98;38808;1188
9706;120;G47;Video Papeleta;G;14;2023;2;9;3564;0
9707;210;M20a;Papeleta Electrónica;M;14;2023;2;3;2673;0
9708;120;G47;Video Papeleta;G;14;2023;2;2;792;0
9709;210;M20a;Papeleta Electrónica;M;14;2023;2;2;1782;891
9710;210;M20a;Papeleta Electrónica;M;14;2023;2;12;10692;0
9711;207;M18;Papeleta de Tránsito;M;20;2023;8;6;3564;594
9712;200;M16;Papeleta de Tránsito;M;20;2023;8;1;594;0
9713;179;L07;Papeleta de Tránsito;L;15;2023;3;1;198;0
9714;45;G12;Papeleta de Tránsito;G;20;2023;8;1;396;0
9715;208;M19;Papeleta de Tránsito;M;17;2023;5;2;1188;0
9716;67;G25;Papeleta de Tránsito;G;15;2023;3;1;396;0
9717;212;M20b;Papeleta Electrónica;M;15;2023;3;1;1188;0
9718;30;G07;Papeleta de Tránsito;G;17;2023;5;4;1584;0
9719;81;G32;Papeleta de Tránsito;G;13;2023;1;1;396;0
9720;212;M20b;Papeleta Electrónica;M;17;2023;5;1;1188;0
9721;125;G49;Papeleta de Tránsito;G;15;2023;3;1;396;0
9722;71;G28;Papeleta de Tránsito;G;16;2023;4;2;792;0
9723;49;G14;Papeleta de Tránsito;G;16;2023;4;4;1584;396
9724;192;M10;Papeleta de Tránsito;M;13;2023;1;1;594;0
9725;237;M40;Papeleta de Tránsito;M;16;2023;4;1;1635;0
9726;81;G32;Papeleta de Tránsito;G;14;2023;2;1;396;0
9727;212;M20b;Papeleta Electrónica;M;15;2023;3;5;5940;1188
